SKU,Name,Description,Stock,"Weight (kg)",Categories,images
136908,2280100-R,"Adaptec 2280100-R 0.8M Internal Mini Serial SCSIx4 SFF-8643 to 4x1 Serial SCSI",0,0.55,"Cables>Internal IDE",images/136908.jpg
136922,R750,"HighPoint Rocket 750 The Industrys First Lowest-Cost 40-Port SATA 6Gb s HBA",0,1.71,"Controller Cards>Serial ATA Controller",images/136922.jpg
136925,VSK4000E-U3,"Antec VSK4000E-U3 Value Solution ATX Mid Tower 3 1 (5) Bay USB 3.0 HD Audio No P",2,24.00,"Cases>Mid-Tower (ATX)",images/136925.jpg
136928,C6PATCH35OR,"Startech Cable C6PATCH35OR 35ft Cat6 Molded RJ45 UTP Gigabit Patch Orange RTL",0,1.01,Cables>Networking,images/136928.jpg
136929,C6PATCH6PL,"Startech Cable C6PATCH6PL 6ft Cat6 Molded RJ45 UTP Gigabit Patch Purple Retail",0,0.20,Cables>Networking,images/136929.jpg
136931,MDP2DVI3,"StarTech AC MDP2DVI3 Mini DisplayPort to DVI Video Adapter Converter Black RTL",0,0.28,"Accessories>Video Card Accessories",images/136931.jpg
136932,USB2HAB65AC,"StarTech Cable USB2HAB65AC 20m 65ft Active USB2.0 A to B Cable Male Male RTL",0,2.10,"Cables>External IDE",images/136932.jpg
136933,USB32HDEH,"StarTech USB32HDEH USB3.0 to HDMI External Video Card Multi Monitor Adapter",0,0.51,"Accessories>Video Card Accessories",images/136933.jpg
136934,HDMM15,"StarTech Cable HDMM15 15ft High Speed HDMI to HDMI M M Black Retail",40,0.54,"Cables>External IDE",images/136934.jpg
136935,USB32VGAEH,"StarTech USB32VGAEH USB3 to VGA External Video Card Multi Monitor Adapter RTL",0,0.51,"Accessories>Video Card Accessories",images/136935.jpg
137056,CBL-0484L,"Supermicro Cable CBL-0484L 55cm 30AWG SATA S-S Retail",6,1.00,"Cables>External IDE",images/137056.jpg
137057,GO-SW-8GE,"D-Link Network GO-SW-8GE 8Port Unmanaged Gigabit Desktop Metal Retail",73,1.60,"Network Device>Switches",images/137057.jpg
137059,GO-SW-5GE,"D-Link Network GO-SW-5GE 5Port Unmanaged Gigabit Desktop Metal Retail",0,1.37,"Network Device>Switches",images/137059.jpg
137137,RTK-015,"Rosewill Accessory RTK-015 15 Piece Standard Computer Tool Kit Retail",45,1.25,Accessories>Accessories,images/137137.jpg
137362,RANGER-M,"Rosewill Case RANGER-M MicroATX Mini Tower USB2.0 120mm 80mm Fan w Blue LED",0,17.00,Cases>Desktop,images/137362.jpg
137381,MNHD2VGAE2,"StarTech MNHD2VGAE2 MiniHDMI to VGA ADP Converter f Digital Still Cam Video",0,0.47,Accessories>Accessories,images/137381.jpg
137383,MCHD2VGAE2,"StarTech MCHD2VGAE2 MicroHDMI VGA Adapter Converter Smartphone Ultrabook Table",0,0.07,Accessories>Accessories,images/137383.jpg
137386,HD2VGAE2,"StarTech HD2VGAE2 HDMI to VGA Adapter Converter f Desktop PC Laptop Ultrabook",44,1.00,Accessories>Accessories,images/137386.jpg
137470,CE-CM0612-S1,"SIIG Accessory CE-CM0612-S1 Component Video Audio to HDMI Converter Retail",0,0.93,Accessories>Accessories,images/137470.jpg
137524,AOC-STG-B4S,"Supermicro AOC-STG-b4S 4Port 10G Ethernet PCIE 3.0 RoHS Add-on Card LP Retail",0,1.00,"I/O Card                      >I/O Cards",images/137524.jpg
137529,SD-AUD20066,"SYBA Accessory SD-AUD20066 USB2.0 Stereo Sound Adapter with Mic Input W7 Ready",0,0.13,Accessories>Accessories,images/137529.jpg
137542,OG-AUD63046,"SYBA Headset OG-AUD63046 Oblanc SHELL200 with In-line Microphone White red",0,2.58,Headphones>Headphones,images/137542.jpg
137748,AKB-440UB,"Adesso Keyboard AKB-440UB SlimTouch Desktop Full Size Touchpad Keyboard Retail",0,2.50,"Keyboards>USB Keyboard",images/137748.jpg
137767,WKB-1500GB,"Adesso WKB-1500GB 2.4GHz Wireless Ergo Keyboard and Laser Mouse Combo Retail",0,4.01,"Keyboards>Keyboard/Mice Combo",images/137767.jpg
137782,AKB-110B,"Adesso Keyboard AKB-110B USB & PS 2 EasyTouch Mini Keyboard Black Retail",0,1.32,"Keyboards>USB Keyboard",images/137782.jpg
137800,"IMOUSE M300W","Adesso Mouse iMouse M300W 3 Buttons Bluetooth Wireless Optical Mouse Retail",0,0.54,"Mouse>Cordless Mouse",images/137800.jpg
